id,name,price,kcal,amount,sugar,protein,fat,salt,caffeine,imgpath
1,빅맥,5200,582,223,8,27,11,902,,https://www.mcdonalds.co.kr/upload/product/pcfile/1583727855319.png
2,맥스파이시 상하이 버거,4700,501,246,9,24,3,1102,,https://www.mcdonalds.co.kr/upload/product/pcfile/1583728352960.png
